car,overall_position,class_position,team,vehicle,class,group,race,event_duration,season,laps,total_time,gap_first,gap_car_ahead,tyres,status,fl_lap_number,fl_time,fl_kph_average,driver_1,driver_2,driver_3
Aston Martin Racing #97,19,3,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,Fuji,6,2012,206,6:01:30.706,27 Laps,39.110,Michelin,Classified,128.0,1:41.520,161.8,Stefan Mücke,Darren Turner,
AF Corse #71,20,4,AF Corse,Ferrari F458 Italia,LMGTE Pro,,Fuji,6,2012,206,6:02:20.305,27 Laps,49.599,Michelin,Classified,153.0,1:41.531,161.8,Andrea Bertolini,Olivier Beretta,
Larbre Competition #50,21,1,Larbre Competition,Chevrolet Corvette C6-ZR1,LMGTE Am,,Fuji,6,2012,204,6:02:27.349,29 Laps,2 Laps,Michelin,Classified,124.0,1:42.191,160.7,Patrick Bornhauser,Julien Canal,Pedro Lamy
Krohn Racing #57,22,2,Krohn Racing,Ferrari F458 Italia,LMGTE Am,,Fuji,6,2012,203,6:02:17.553,30 Laps,1 Laps,Michelin,Classified,135.0,1:42.284,160.6,Tracy Krohn,Niclas Jönsson,Michele Rugolo
Team Felbermayr-Proton #88,23,3,Team Felbermayr-Proton,Porsche 911 RSR (997),LMGTE Am,,Fuji,6,2012,202,6:02:09.119,31 Laps,1 Laps,Michelin,Classified,142.0,1:42.122,160.9,Christian Ried,Gianluca Roda,Paolo Ruberti
Larbre Competition #70,24,4,Larbre Competition,Chevrolet Corvette C6-ZR1,LMGTE Am,,Fuji,6,2012,199,6:01:26.234,34 Laps,3 Laps,Michelin,Classified,170.0,1:42.380,160.4,Jean-Philippe Belloc,Christophe Bourret,Pascal Gibon
JWA-Avila #55,25,5,JWA-Avila,Porsche 911 RSR (997),LMGTE Am,,Fuji,6,2012,196,6:00:48.756,37 Laps,3 Laps,,Classified,139.0,1:43.707,158.4,Joël Camathias,Kenji Kobayashi,Paul Daniels
Lotus #31,26,9,Lotus,Lola B12/80 Coupé - Lotus,LMP2,,Fuji,6,2012,139,3:58:04.009,94 Laps,57 Laps,Dunlop,Not classified,132.0,1:35.966,171.2,Thomas Holzer,Mirco Schultis,
Signatech Nissan #26,27,10,Signatech Nissan,Oreca 03 - Nissan,LMP2,,Fuji,6,2012,213,6:02:09.616,20 Laps,-74 Laps,Dunlop,Excluded,168.0,1:33.453,175.8,Nelson Panciatici,Pierre Ragues,Roman Rusinov
Toyota Racing #7,1,1,Toyota Racing,Toyota TS030 - Hybrid,LMP1,,Interlagos,6,2012,247,6:01:08.356,,,Michelin,Classified,165.0,1:23.419,186.0,Alexander Wurz,Nicolas Lapierre,
Audi Sport Team Joest #1,2,2,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,,Interlagos,6,2012,247,6:02:09.134,1'00.778,1'00.778,Michelin,Classified,218.0,1:23.740,185.2,Marcel Fässler,André Lotterer,Benoit Tréluyer
Audi Sport Team Joest #2,3,3,Audi Sport Team Joest,Audi R18 ultra,LMP1,,Interlagos,6,2012,247,6:02:23.035,1'14.679,13.901,Michelin,Classified,213.0,1:23.070,186.7,Tom Kristensen,Allan McNish,Lucas Di Grassi
Rebellion Racing #12,4,4,Rebellion Racing,Lola B12/60 Coupé - Toyota,LMP1,,Interlagos,6,2012,242,6:01:16.750,5 Laps,5 Laps,Michelin,Classified,175.0,1:24.838,182.8,Nicolas Prost,Neel Jani,
Strakka Racing #21,5,5,Strakka Racing,HPD ARX 03a - Honda,LMP1,,Interlagos,6,2012,240,6:01:48.032,7 Laps,2 Laps,Michelin,Classified,230.0,1:24.915,182.7,Nick Leventis,Danny Watts,Jonny Kane
Rebellion Racing #13,6,6,Rebellion Racing,Lola B12/60 Coupé - Toyota,LMP1,,Interlagos,6,2012,240,6:01:51.142,7 Laps,3.110,Michelin,Classified,168.0,1:25.410,181.6,Andrea Belicchi,Harold Primat,
Starworks Motorsports #44,7,1,Starworks Motorsports,HPD ARX 03b - Honda,LMP2,,Interlagos,6,2012,234,6:01:42.190,13 Laps,6 Laps,Dunlop,Classified,189.0,1:28.198,175.9,Vicente Potolicchio,Ryan Dalziel,Stéphane Sarrazin
Pecom Racing #49,8,2,Pecom Racing,Oreca 03 - Nissan,LMP2,,Interlagos,6,2012,231,6:02:28.457,16 Laps,3 Laps,Dunlop,Classified,187.0,1:28.586,175.1,Luis Perez Companc,Nicolas Minassian,Pierre Kaffer
JRM #22,9,7,JRM,HPD ARX 03a - Honda,LMP1,,Interlagos,6,2012,230,6:01:24.825,17 Laps,1 Laps,Michelin,Classified,175.0,1:25.257,181.9,David Brabham,Karun Chandhok,Peter Dumbreck
Oak Racing #24,10,3,Oak Racing,Morgan - Nissan,LMP2,,Interlagos,6,2012,230,6:01:56.824,17 Laps,31.999,Dunlop,Classified,207.0,1:27.848,176.6,Jacques Nicolet,Matthieu Lahaye,Olivier Pla
Greaves Motorsport #41,11,4,Greaves Motorsport,Zytek Z11SN - Nissan,LMP2,,Interlagos,6,2012,229,6:02:01.666,18 Laps,1 Laps,Dunlop,Classified,192.0,1:29.057,174.2,Christian Zugel,Roberto Gonzalez,Elton Julian
ADR-Delta #25,12,5,ADR-Delta,Oreca 03 - Nissan,LMP2,,Interlagos,6,2012,228,6:01:39.572,19 Laps,1 Laps,Dunlop,Classified,176.0,1:28.689,174.9,John Martin,Jan Charouz,Tor Graves
Lotus #32,13,6,Lotus,Lola B12/80 Coupé - Lotus,LMP2,,Interlagos,6,2012,228,6:02:21.606,19 Laps,42.034,Dunlop,Classified,166.0,1:28.805,174.7,Vitantonio Liuzzi,James Rossiter,Kevin Weeda
Signatech Nissan #26,14,7,Signatech Nissan,Oreca 03 - Nissan,LMP2,,Interlagos,6,2012,227,6:01:09.782,20 Laps,1 Laps,Dunlop,Classified,203.0,1:28.073,176.1,Nelson Panciatici,Pierre Ragues,Roman Rusinov
Lotus #31,15,8,Lotus,Lola B12/80 Coupé - Lotus,LMP2,,Interlagos,6,2012,226,6:01:09.677,21 Laps,1 Laps,Dunlop,Classified,160.0,1:29.865,172.6,Thomas Holzer,Mirco Schultis,Luca Moro
AF Corse #51,16,1,AF Corse,Ferrari F458 Italia,LMGTE Pro,,Interlagos,6,2012,221,6:01:51.398,26 Laps,5 Laps,Michelin,Classified,190.0,1:34.390,164.3,Giancarlo Fisichella,Gianmaria Bruni,
Aston Martin Racing #97,17,2,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,Interlagos,6,2012,220,6:01:09.440,27 Laps,1 Laps,Michelin,Classified,139.0,1:34.715,163.8,Stefan Mücke,Darren Turner,
Team Felbermayr-Proton #77,18,3,Team Felbermayr-Proton,Porsche 911 RSR (997),LMGTE Pro,,Interlagos,6,2012,220,6:02:19.633,27 Laps,1'10.193,Michelin,Classified,153.0,1:34.405,164.3,Marc Lieb,Richard Lietz,
AF Corse #71,19,4,AF Corse,Ferrari F458 Italia,LMGTE Pro,,Interlagos,6,2012,219,6:01:39.145,28 Laps,1 Laps,Michelin,Classified,191.0,1:35.323,162.7,Andrea Bertolini,Olivier Beretta,
Team Felbermayr-Proton #88,20,1,Team Felbermayr-Proton,Porsche 911 RSR (997),LMGTE Am,,Interlagos,6,2012,213,6:02:23.799,34 Laps,6 Laps,Michelin,Classified,183.0,1:36.021,161.6,Christian Ried,Gianluca Roda,Paolo Ruberti
Larbre Competition #70,21,2,Larbre Competition,Chevrolet Corvette C6-ZR1,LMGTE Am,,Interlagos,6,2012,211,6:01:09.346,36 Laps,2 Laps,Michelin,Classified,183.0,1:36.110,161.4,Jean-Philippe Belloc,Christophe Bourret,Pascal Gibon
AF Corse-Waltrip #61,22,3,AF Corse-Waltrip,Ferrari F458 Italia,LMGTE Am,,Interlagos,6,2012,210,6:01:28.117,37 Laps,1 Laps,Michelin,Classified,170.0,1:35.852,161.8,Francisco Longo,Alexandre Negrão,Enrique Bernoldi
JWA-Avila #55,23,4,JWA-Avila,Porsche 911 RSR (997),LMGTE Am,,Interlagos,6,2012,195,6:02:34.134,52 Laps,15 Laps,,Classified,128.0,1:37.680,158.8,Joël Camathias,Markus Palttala,Paul Daniels
Gulf Racing Middle East #29,24,9,Gulf Racing Middle East,Lola B12/80 Coupé - Nissan,LMP2,,Interlagos,6,2012,194,6:02:35.122,53 Laps,1 Laps,Dunlop,Classified,126.0,1:29.754,172.8,Fabien Giroix,Keiko Ihara,Jean-Denis Deletraz
Oak Racing #35,25,10,Oak Racing,Morgan - Nissan,LMP2,,Interlagos,6,2012,164,4:15:45.211,83 Laps,30 Laps,Dunlop,Not classified,151.0,1:28.999,174.3,Bertrand Baguette,Dominik Kraihamer,Alex Brundle
Signatech Nissan #23,26,11,Signatech Nissan,Oreca 03 - Nissan,LMP2,,Interlagos,6,2012,96,2:29:25.502,151 Laps,68 Laps,Dunlop,Not classified,4.0,1:29.374,173.6,Franck Mailleux,Olivier Lombard,Jordan Tresson
Krohn Racing #57,27,5,Krohn Racing,Ferrari F458 Italia,LMGTE Am,,Interlagos,6,2012,1,2:09.020,246 Laps,95 Laps,Michelin,Not classified,,,,Tracy Krohn,Niclas Jönsson,Michele Rugolo
Larbre Competition #50,28,6,Larbre Competition,Chevrolet Corvette C6-ZR1,LMGTE Am,,Interlagos,6,2012,216,6:02:18.896,31 Laps,-215 Laps,Michelin,Excluded,193.0,1:36.293,161.1,Patrick Bornhauser,Julien Canal,Fernando Rees
Audi Sport Team Joest #1,1,1,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,,LeMans,24,2012,378,24:01:16.128,,,Michelin,Classified,318.0,3:25.706,238.5,Marcel Fässler,André Lotterer,Benoit Tréluyer
Audi Sport Team Joest #2,2,2,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,,LeMans,24,2012,377,24:01:16.256,1 Laps,1 Laps,Michelin,Classified,355.0,3:24.276,240.2,Dindo Capello,Tom Kristensen,Allan McNish
Audi Sport North America #4,3,3,Audi Sport North America,Audi R18 Ultra,LMP1,,LeMans,24,2012,375,24:01:16.936,3 Laps,2 Laps,Michelin,Classified,330.0,3:25.514,238.7,Marco Bonanomi,Oliver Jarvis,Mike Rockenfeller
Rebellion Racing #12,4,4,Rebellion Racing,Lola B12/60 Coupe - Toyota,LMP1,,LeMans,24,2012,367,24:01:18.989,11 Laps,8 Laps,Michelin,Classified,345.0,3:29.664,234.0,Nicolas Prost,Neel Jani,Nick Heidfeld
Audi Sport Team Joest #3,5,5,Audi Sport Team Joest,Audi R18 Ultra,LMP1,,LeMans,24,2012,366,24:01:17.170,12 Laps,1 Laps,Michelin,Classified,269.0,3:24.189,240.3,Romain Dumas,Loic Duval,Marc Gené
JRM #22,6,6,JRM,HPD ARX  03a - Honda,LMP1,,LeMans,24,2012,357,24:04:35.578,21 Laps,9 Laps,Michelin,Classified,281.0,3:33.242,230.1,David Brabham,Karun Chandhok,Peter Dumbreck
Starworks Motorsports #44,7,1,Starworks Motorsports,HPD ARX 03b - Honda,LMP2,,LeMans,24,2012,354,24:02:38.417,24 Laps,3 Laps,Dunlop,Classified,337.0,3:41.024,222.0,Vicente Potolicchio,Ryan Dalziel,Thomas Kimber-Smith
Thiriet By TDS Racing #46,8,2,Thiriet By TDS Racing,Oreca 03 - Nissan,LMP2,,LeMans,24,2012,353,24:01:26.973,25 Laps,1 Laps,Dunlop,Classified,294.0,3:40.728,222.3,Mathias Beche,Pierre Thiriet,Christophe Tinseau
Pecom Racing #49,9,3,Pecom Racing,Oreca 03 - Nissan,LMP2,,LeMans,24,2012,352,24:01:29.749,26 Laps,1 Laps,Dunlop,Classified,263.0,3:39.641,223.4,Luis Perez Companc,Soheil Ayari,Pierre Kaffer
Signatech Nissan #26,10,4,Signatech Nissan,Oreca 03 - Nissan,LMP2,,LeMans,24,2012,351,24:04:43.093,27 Laps,1 Laps,Dunlop,Classified,299.0,3:41.860,221.2,Nelson Panciatici,Pierre Ragues,Roman Rusinov
Rebellion Racing #13,11,7,Rebellion Racing,Lola B12/60 Coupe - Toyota,LMP1,,LeMans,24,2012,350,24:04:36.816,28 Laps,1 Laps,Michelin,Classified,336.0,3:32.151,231.3,Andrea Belicchi,Harold Primat,Jeroen Bleekemolen
Greaves Motorsport #41,12,5,Greaves Motorsport,Zytek Z11SN - Nissan,LMP2,,LeMans,24,2012,348,24:02:13.904,30 Laps,2 Laps,Dunlop,Classified,331.0,3:41.316,221.7,Christian Zugel,Ricardo Gonzalez,Elton Julian
ADR-Delta #25,13,6,ADR-Delta,Oreca 03 - Nissan,LMP2,,LeMans,24,2012,346,24:04:44.996,32 Laps,2 Laps,Dunlop,Classified,253.0,3:38.803,224.2,John Martin,Jan Charouz,Tor Graves
Oak Racing #35,14,7,Oak Racing,Morgan - Nissan,LMP2,,LeMans,24,2012,341,24:04:46.477,37 Laps,5 Laps,Dunlop,Classified,248.0,3:40.654,222.4,David Heinemeier Hansson,Bas Leinders,Maxime Martin
Greaves Motorsport #42,15,8,Greaves Motorsport,Zytek Z11SN - Nissan,LMP2,,LeMans,24,2012,340,24:01:55.649,38 Laps,1 Laps,Dunlop,Classified,315.0,3:40.896,222.1,Lucas Ordoñez,Martin Brundle,Alex Brundle
Signatech Nissan #23,16,9,Signatech Nissan,Oreca 03 - Nissan,LMP2,,LeMans,24,2012,340,24:04:43.118,38 Laps,2'47.469,Dunlop,Classified,246.0,3:41.119,221.9,Franck Mailleux,Olivier Lombard,Jordan Tresson
AF Corse #51,17,1,AF Corse,Ferrari 458 Italia,LMGTE Pro,,LeMans,24,2012,336,24:04:51.579,42 Laps,4 Laps,Michelin,Classified,123.0,3:56.953,207.1,Giancarlo Fisichella,Gianmaria Bruni,Toni Vilander
Luxury Racing #59,18,2,Luxury Racing,Ferrari 458 Italia,LMGTE Pro,,LeMans,24,2012,333,24:01:42.635,45 Laps,3 Laps,Michelin,Classified,279.0,3:56.024,207.9,Frédéric Makowiecki,Jaime Melo,Dominik Farnbacher
Aston Martin Racing #97,19,3,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,LeMans,24,2012,332,24:01:59.049,46 Laps,1 Laps,Michelin,Classified,276.0,3:54.928,208.8,Adrian Fernandez,Stefan Mücke,Darren Turner
Larbre Competition #50,20,1,Larbre Competition,Chevrolet Corvette C6 ZR1,LMGTE Am,,LeMans,24,2012,329,24:05:37.413,49 Laps,3 Laps,Michelin,Classified,313.0,3:58.534,205.7,Patrick Bornhauser,Julien Canal,Pedro Lamy
Imsa Performance Matmut #67,21,2,Imsa Performance Matmut,Porsche 911 RSR (997),LMGTE Am,,LeMans,24,2012,328,24:05:11.893,50 Laps,1 Laps,Michelin,Classified,281.0,3:58.579,205.7,Nicolas Armindo,Raymond Narac,Anthony Pons
AF Corse #71,22,4,AF Corse,Ferrari 458 Italia,LMGTE Pro,,LeMans,24,2012,326,24:01:19.501,52 Laps,2 Laps,Michelin,Classified,306.0,3:57.163,206.9,Andrea Bertolini,Olivier Beretta,Marco Cioci
Corvette Racing #73,23,5,Corvette Racing,Chevrolet Corvette C6 ZR1,LMGTE Pro,,LeMans,24,2012,326,24:04:30.411,52 Laps,3'10.910,Michelin,Classified,308.0,3:56.216,207.7,Jordan Taylor,Antonio Garcia,Jan Magnussen
Boutsen Ginion Racing #45,24,10,Boutsen Ginion Racing,Oreca 03 - Nissan,LMP2,,LeMans,24,2012,325,24:01:53.828,53 Laps,1 Laps,Dunlop,Classified,273.0,3:40.491,222.5,Bastien Briere,Jens Petersen,Shinji Nakano
Krohn Racing #57,25,3,Krohn Racing,Ferrari 458 Italia,LMGTE Am,,LeMans,24,2012,323,24:04:00.903,55 Laps,2 Laps,Dunlop,Classified,275.0,4:00.608,203.9,Tracy Krohn,Niclas Jönsson,Michele Rugolo
Race Performance #40,26,11,Race Performance,Oreca 03 - Judd,LMP2,,LeMans,24,2012,320,24:04:37.832,58 Laps,3 Laps,Dunlop,Classified,279.0,3:42.165,220.8,Michel Frey,Jonathan Hirschi,Ralph Meichtry
Flying Lizard Motorsports #79,27,4,Flying Lizard Motorsports,Porsche 911 RSR (997),LMGTE Am,,LeMans,24,2012,313,24:02:56.092,65 Laps,7 Laps,Michelin,Classified,225.0,3:56.596,207.4,Seth Neiman,Patrick Pilet,Spencer Pumpelly
Larbre Competition #70,28,5,Larbre Competition,Chevrolet Corvette C6 ZR1,LMGTE Am,,LeMans,24,2012,309,24:04:59.073,69 Laps,4 Laps,Michelin,Classified,266.0,4:00.679,203.9,Jean-Philippe Belloc,Christophe Bourret,Pascal Gibon
Extreme Limit Aric #43,29,12,Extreme Limit Aric,Norma MP 2000 - Judd,LMP2,,LeMans,24,2012,308,24:04:26.394,70 Laps,1 Laps,Dunlop,Classified,155.0,3:50.571,212.8,Fabien Rosier,Philippe Thirion,Philippe Haezebrouck
Strakka Racing #21,30,8,Strakka Racing,HPD ARX  03a - Honda,LMP1,,LeMans,24,2012,303,24:01:47.873,75 Laps,5 Laps,Michelin,Classified,267.0,3:31.529,232.0,Nick Leventis,Danny Watts,Jonny Kane
AF Corse-Waltrip #61,31,6,AF Corse-Waltrip,Ferrari 458 Italia,LMGTE Am,,LeMans,24,2012,294,24:06:07.267,84 Laps,9 Laps,Michelin,Classified,237.0,3:58.821,205.4,Robert Kauffman,Rui Aguas,Brian Vickers
JMB  Racing #83,32,7,JMB  Racing,Ferrari 458 Italia,LMGTE Am,,LeMans,24,2012,292,24:01:20.206,86 Laps,2 Laps,Michelin,Classified,246.0,4:02.213,202.6,Manuel Rodrigues,Alain Ferte,Philippe Illiano
JWA-Avila #55,33,8,JWA-Avila,Porsche 911 RSR (997),LMGTE Am,,LeMans,24,2012,290,24:06:03.393,88 Laps,2 Laps,,Classified,244.0,4:04.333,200.8,Joël Camathias,Markus Palttala,Paul Daniels
Corvette Racing #74,34,6,Corvette Racing,Chevrolet Corvette C6 ZR1,LMGTE Pro,,LeMans,24,2012,215,24:04:30.368,163 Laps,75 Laps,Michelin,Not classified,168.0,3:56.835,207.2,Oliver Gavin,Tommy Milner,Richard Westbrook
Pescarolo Team #17,35,9,Pescarolo Team,Dome - Judd,LMP1,,LeMans,24,2012,203,24:08:45.196,175 Laps,12 Laps,Michelin,Not classified,37.0,3:33.560,229.7,Sébastien Bourdais,Nicolas Minassian,Seiji Ara
Jota #38,36,13,Jota,Zytek Z11SN - Nissan,LMP2,,LeMans,24,2012,271,19:43:53.342,107 Laps,-68 Laps,Dunlop,Retired,96.0,3:41.683,221.3,Simon Dolan,Sam Hancock,Haruki Kurosawa
Level 5 Motorsport #33,37,14,Level 5 Motorsport,HPD ARX 03b - Honda,LMP2,,LeMans,24,2012,240,16:41:11.482,138 Laps,31 Laps,Dunlop,Retired,216.0,3:42.230,220.8,Scott Tucker,Christophe Bouchut,Luis Diaz
Status Grand Prix #30,38,15,Status Grand Prix,Lola - Judd,LMP2,,LeMans,24,2012,239,17:42:31.931,139 Laps,1 Laps,Dunlop,Retired,225.0,3:41.976,221.0,Alexander Sims,Yelmer Buurman,Romain Ianneta
Team Felbermayr-Proton #88,39,9,Team Felbermayr-Proton,Porsche 911 RSR (997),LMGTE Am,,LeMans,24,2012,222,16:49:48.773,156 Laps,17 Laps,Michelin,Retired,171.0,4:00.305,204.2,Christian Ried,Gianluca Roda,Paolo Ruberti
Oak Racing #15,40,10,Oak Racing,Oak Pescarolo - Judd,LMP1,,LeMans,24,2012,219,15:50:06.133,159 Laps,3 Laps,Dunlop,Retired,53.0,3:36.321,226.8,Franck Montagny,Bertrand Baguette,Dominik Kraihamer
JMW Motorsport #66,41,7,JMW Motorsport,Ferrari 458 Italia,LMGTE Pro,,LeMans,24,2012,204,15:20:07.607,174 Laps,15 Laps,Dunlop,Retired,51.0,4:00.827,203.7,James Walker,Jonny Cocker,Roger Wills
Murphy Prototypes #48,42,16,Murphy Prototypes,Oreca 03 - Nissan,LMP2,,LeMans,24,2012,196,13:25:07.987,182 Laps,8 Laps,Dunlop,Retired,184.0,3:40.770,222.2,Jody Firth,Warren Hughes,Brendon Hartley
Team Felbermayr-Proton #77,43,8,Team Felbermayr-Proton,Porsche 911 RSR (997),LMGTE Pro,,LeMans,24,2012,184,13:17:06.976,194 Laps,12 Laps,Michelin,Retired,116.0,3:58.520,205.7,Marc Lieb,Richard Lietz,Wolf Henzler
Prospeed Competition #75,44,10,Prospeed Competition,Porsche 911 RSR (997),LMGTE Am,,LeMans,24,2012,180,13:43:15.689,198 Laps,4 Laps,Michelin,Retired,147.0,4:00.546,204.0,Abdulaziz Alfaisal,Bret Curtis,Sean Edwards
Lotus #31,45,17,Lotus,Lola B12/80 Coupe - Lotus,LMP2,,LeMans,24,2012,155,11:13:13.295,223 Laps,25 Laps,Dunlop,Retired,42.0,3:46.261,216.8,Thomas Holzer,Mirco Schultis,Luca Moro
Luxury Racing #58,46,11,Luxury Racing,Ferrari 458 Italia,LMGTE Am,,LeMans,24,2012,146,11:13:03.950,232 Laps,9 Laps,Michelin,Retired,85.0,4:01.171,203.4,Pierre Ehret,Franck Montecalvo,Gunnar Jeannette
Oak Racing #24,47,18,Oak Racing,Morgan - Judd,LMP2,,LeMans,24,2012,139,9:35:11.089,239 Laps,7 Laps,Dunlop,Retired,43.0,3:41.838,221.2,Jacques Nicolet,Matthieu Lahaye,Olivier Pla
Toyota Racing #7,48,11,Toyota Racing,Toyota TS 030 - Hybrid,LMP1,,LeMans,24,2012,134,10:33:50.049,244 Laps,5 Laps,Michelin,Retired,62.0,3:27.088,236.9,Alexander Wurz,Nicolas Lapierre,Kazuki Nakajima
Flying Lizard Motorsports #80,49,9,Flying Lizard Motorsports,Porsche 911 RSR (997),LMGTE Pro,,LeMans,24,2012,114,9:12:21.190,264 Laps,20 Laps,Michelin,Retired,82.0,3:57.824,206.3,Jörg Bergmeister,Patrick Long,Marco Holzer
Gulf Racing Middle East #28,50,19,Gulf Racing Middle East,Lola  B12/80 Coupe - Nissan,LMP2,,LeMans,24,2012,92,9:25:36.580,286 Laps,22 Laps,Dunlop,Retired,25.0,3:45.353,217.7,Fabien Giroix,Stefan Johansson,Ludovic Badey
Toyota Racing #8,51,12,Toyota Racing,Toyota TS 030 - Hybrid,LMP1,,LeMans,24,2012,82,4:57:28.585,296 Laps,10 Laps,Michelin,Retired,70.0,3:27.101,236.9,Anthony Davidson,Sébastien Buemi,Stéphane Sarrazin
Highcroft Racing #0,52,1,Highcroft Racing,Delta Wing Nissan,CDNT,,LeMans,24,2012,75,6:09:12.395,303 Laps,7 Laps,Michelin,Retired,39.0,3:45.737,217.4,Marino Franchitti,Michael Krumm,Satoshi Motoyama
AF Corse #81,53,12,AF Corse,Ferrari 458 Italia,LMGTE Am,,LeMans,24,2012,70,4:57:09.020,308 Laps,5 Laps,Michelin,Retired,56.0,4:03.041,201.9,Piergiuseppe Perazzini,Nicola Cadei,Matt Griffin
Aston Martin Racing #99,54,13,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,,LeMans,24,2012,31,3:37:12.321,347 Laps,39 Laps,Michelin,Retired,11.0,3:58.934,205.3,Allan Simonsen,Christoffer Nygaard,Kristian Poulsen
Pescarolo Team #16,55,13,Pescarolo Team,Pescarolo 03 - Judd,LMP1,,LeMans,24,2012,20,3:05:19.776,358 Laps,11 Laps,Michelin,Retired,11.0,3:44.206,218.8,Emmanuel Collard,Stuart Hall,
Gulf Racing Middle East #29,56,20,Gulf Racing Middle East,Lola  B12/80 Coupe - Nissan,LMP2,,LeMans,24,2012,17,1:07:41.979,361 Laps,3 Laps,Dunlop,Retired,16.0,3:49.076,214.2,Jean-Denis Deletraz,Keiko Ihara,Marc Rostan
Audi Sport Team Joest #2,1,1,Audi Sport Team Joest,Audi R18,LM P1,,Sebring,12,2012,325,12:00:15.243,,,Michelin,Classified,238.0,1:47.534,201.5,Dindo Capello,Tom Kristensen,Allan McNish
Audi Sport Team Joest #3,2,2,Audi Sport Team Joest,Audi R18,LM P1,,Sebring,12,2012,321,12:00:42.168,4 Laps,4 Laps,Michelin,Classified,157.0,1:47.438,201.6,Timo Bernhard,Romain Dumas,Loic Duval
Starworks Motorsports #44,3,1,Starworks Motorsports,HPD ARX 03b - Honda,LM P2,,Sebring,12,2012,319,12:01:28.511,6 Laps,2 Laps,Dunlop,Classified,164.0,1:52.295,192.9,Vicente Potolicchio,Ryan Dalziel,Stéphane Sarrazin
Oak Racing #24,4,2,Oak Racing,Morgan - Judd,LM P2,,Sebring,12,2012,318,12:01:02.039,7 Laps,1 Laps,Dunlop,Classified,186.0,1:51.306,194.6,Jacques Nicolet,Matthieu Lahaye,Olivier Pla
Pescarolo Team #16,5,3,Pescarolo Team,Pescarolo - Judd,LM P1,,Sebring,12,2012,318,12:01:08.914,7 Laps,6.875,Michelin,Classified,234.0,1:51.285,194.7,Emmanuel Collard,Jean-Christophe Boullion,Julien Jousse
Pecom Racing #49,6,3,Pecom Racing,Oreca 03 - Nissan,LM P2,,Sebring,12,2012,317,12:01:23.639,8 Laps,1 Laps,Dunlop,Classified,187.0,1:52.616,192.4,Luis Perez Companc,Soheil Ayari,Pierre Kaffer
Greaves Motorsport #41,7,4,Greaves Motorsport,Zytek Z11SN - Nissan,LM P2,,Sebring,12,2012,316,12:00:44.900,9 Laps,1 Laps,Dunlop,Classified,6.0,1:53.506,190.9,Christian Zugel,Ricardo Gonzalez,Elton Julian
Strakka Racing #21,8,4,Strakka Racing,HPD ARX 03a - Honda,LM P1,,Sebring,12,2012,316,12:01:42.494,9 Laps,57.594,Michelin,Classified,277.0,1:50.348,196.3,Nick Leventis,Danny Watts,Jonny Kane
ADR-Delta #25,9,5,ADR-Delta,Oreca 03 - Nissan,LM P2,,Sebring,12,2012,315,12:03:40.489,10 Laps,1 Laps,Dunlop,Classified,264.0,1:52.929,191.8,Tor Graves,Robbie Kerr,John Martin
Lotus #31,10,6,Lotus,Lola B12/80 Coupé - Lotus,LM P2,,Sebring,12,2012,310,11:59:56.852,15 Laps,5 Laps,Dunlop,Classified,22.0,1:54.474,189.3,Thomas Holzer,Mirco Shultis,Luca Moro
Audi Sport Team Joest #1,11,5,Audi Sport Team Joest,Audi R18,LM P1,,Sebring,12,2012,310,12:02:02.296,15 Laps,2'05.444,Michelin,Classified,252.0,1:46.567,203.3,Marcel Fässler,André Lotterer,Benoit Tréluyer
JRM #22,12,6,JRM,HPD ARX 03a - Honda,LM P1,,Sebring,12,2012,309,12:03:13.341,16 Laps,1 Laps,Michelin,Classified,163.0,1:49.482,197.9,David Brabham,Karun Chandhok,Peter Dumbreck
AF Corse #71,13,1,AF Corse,Ferrari F458 Italia,LM GTE Pro,,Sebring,12,2012,307,12:01:26.088,18 Laps,2 Laps,Michelin,Classified,120.0,2:00.504,179.8,Andrea Bertolini,Olivier Beretta,Marco Cioci
Team Felbermayr-Proton #77,14,2,Team Felbermayr-Proton,Porsche 911 RSR (997),LM GTE Pro,,Sebring,12,2012,306,12:01:22.371,19 Laps,1 Laps,Michelin,Classified,226.0,2:01.225,178.7,Marc Lieb,Richard Lietz,Patrick Pilet
Team Felbermayr-Proton #88,15,1,Team Felbermayr-Proton,Porsche 911 RSR (997),LM GTE Am,,Sebring,12,2012,298,12:00:19.336,27 Laps,8 Laps,Michelin,Classified,205.0,2:02.445,176.9,Christian Ried,Gianluca Roda,Paolo Ruberti
Larbre Competition #70,16,2,Larbre Competition,Chevrolet Corvette C6-ZR1,LM GTE Am,,Sebring,12,2012,297,12:00:41.989,28 Laps,1 Laps,Michelin,Classified,48.0,2:02.892,176.3,Jean-Phillipe Belloc,Christophe Bourret,Pascal Gibon
