car,overall_position,class_position,team,vehicle,class,group,race,event_duration,season,laps,total_time,gap_first,gap_car_ahead,tyres,status,fl_lap_number,fl_time,fl_kph_average,driver_1,driver_2,driver_3
Inter Europol Competition #43,18,14,Inter Europol Competition,Oreca 07 - Gibson,LMP2,,LeMans,24,2022,364,24:03:21.865,16 Laps,1 Laps,Goodyear,Classified,363.0,3:33.137,230.2,David HEINEMEIER-HANSSON,Fabio SCHERER,Pietro FITTIPALDI
Algarve Pro Racing #45,19,15,Algarve Pro Racing,Oreca 07 - Gibson,LMP2,P/A,LeMans,24,2022,363,24:02:19.197,17 Laps,1 Laps,Goodyear,Classified,7.0,3:32.629,230.7,Steven THOMAS,James ALLEN,René BINDER
Nielsen Racing #24,20,16,Nielsen Racing,Oreca 07 - Gibson,LMP2,P/A,LeMans,24,2022,362,24:04:08.004,18 Laps,1 Laps,Goodyear,Classified,288.0,3:33.562,229.7,Rodrigo SALES,Matthew BELL,Ben HANLEY
Realteam by WRT #41,21,17,Realteam by WRT,Oreca 07 - Gibson,LMP2,,LeMans,24,2022,362,24:04:28.719,18 Laps,20.715,Goodyear,Classified,312.0,3:30.918,232.6,Rui ANDRADE,Ferdinand HABSBURG,Norman NATO
DKR Engineering #3,22,18,DKR Engineering,Oreca 07 - Gibson,LMP2,P/A,LeMans,24,2022,362,24:04:32.884,18 Laps,4.165,Goodyear,Classified,288.0,3:33.601,229.7,Laurents HORR,Jean GLORIEUX,Alexandre COUGNAUD
Alpine ELF Team #36,23,5,Alpine ELF Team,Alpine A480 - Gibson,HYPERCAR,,LeMans,24,2022,362,24:04:37.074,18 Laps,4.190,Michelin,Classified,351.0,3:30.030,233.6,André NEGRÃO,Nicolas LAPIERRE,Matthieu VAXIVIERE
AF Corse #83,24,19,AF Corse,Oreca 07 - Gibson,LMP2,P/A,LeMans,24,2022,361,24:02:25.963,19 Laps,1 Laps,Goodyear,Classified,143.0,3:32.949,230.4,François PERRODO,Nicklas NIELSEN,Alessio ROVERA
Algarve Pro Racing #47,25,20,Algarve Pro Racing,Oreca 07 - Gibson,LMP2,P/A,LeMans,24,2022,361,24:04:43.281,19 Laps,2'17.318,Goodyear,Classified,305.0,3:31.652,231.8,Sophia FLOERSCH,John FALB,Jack AITKEN
ARC Bratislava #44,26,21,ARC Bratislava,Oreca 07 - Gibson,LMP2,P/A,LeMans,24,2022,360,24:03:14.756,20 Laps,1 Laps,Goodyear,Classified,347.0,3:32.229,231.1,Miroslav KONOPKA,Bent VISCAAL,Tristan VAUTIER
Vector Sport #10,27,22,Vector Sport,Oreca 07 - Gibson,LMP2,,LeMans,24,2022,357,24:02:42.505,23 Laps,3 Laps,Goodyear,Classified,345.0,3:31.115,232.4,Nico MÜLLER,Ryan CULLEN,Sebastien BOURDAIS
